"ID","Year","DOY","HHMM","Seconds","Temp.degC","RelHum.percent","CO2.ppm","H2O.degC","Tdew.","Tfrost.","TIMESTAMP","TNUM","X","Y","Z","dateAndTime","TIMESTAMP_CEST","Equal_Temp_Flag","NbrofSats_Flag","Implausible_Flag","Route_Flag","log_dist_mean","log_dist","log_dist_name","log_temp_weighted_mean","log_temp","log_number_of_log","log_temp_difference","log_dist_mean.1","log_dist.1","log_dist_name.1","log_temp_weighted_mean.1","log_temp.1","log_number_of_log.1","log_temp_difference.1","log_temp_night_weighted_mean","delta_T_log","bicycle_T_diurnal_corrected","delta_T_log_interpolated","bicycle_T_diurnal_corr_interpolated"
107,2019,177,2300,NA,24.12,72.2,521.6,18.1,12.69,3.101,"2019-06-26 23:00:00",1561590000,7.432083,46.94063,544,2019-06-26 23:00:00,"2019-06-27 01:00:00",NA,NA,NA,NA,112.992110128169,"59.4084231643528, 166.575797091986","Log_53,Log_80",24.9427290513557,"25.805, 22.525",2,0.82272905135569,154.431127546853,"237.309162384219, 59.4084231643528, 166.575797091986","Log_36,Log_53,Log_80",25.0164568108022,"25.416, 25.805, 22.525",3,0.896456810802164,22.5,2.4427290513557,21.6772709486443,NA,21.6772709486443
107,2019,177,2300,10,24.17,72.3,525.6,18.14,12.7,3.101,"2019-06-26 23:00:10",1561590010,7.431776,46.94057,542,2019-06-26 23:00:10,"2019-06-27 01:00:10",NA,NA,NA,NA,101.365527390015,"40.5897537444925, 162.141301035537","Log_53,Log_80",25.1482955181613,"25.805, 22.525",2,0.978295518161282,154.356390521815,"260.338116785416, 40.5897537444925, 162.141301035537","Log_36,Log_53,Log_80",25.1779761113973,"25.416, 25.805, 22.525",3,1.00797611139732,22.5,2.6482955181613,21.5217044818387,NA,21.5217044818387
107,2019,177,2300,20,24.18,72.2,525.3,18.15,12.69,3.101,"2019-06-26 23:00:20",1561590020,7.431338,46.94082,539,2019-06-26 23:00:20,"2019-06-27 01:00:20",NA,NA,NA,NA,65.523675005075,"5.59175955540905, 125.455590454741","Log_53,Log_80",25.6650431726371,"25.805, 22.525",2,1.48504317263705,135.618354692647,"275.807714067792, 5.59175955540905, 125.455590454741","Log_36,Log_53,Log_80",25.6603015169044,"25.416, 25.805, 22.525",3,1.4803015169044,22.5,3.1650431726371,21.0149568273629,NA,21.0149568273629
107,2019,177,2300,30,24.18,72,526.3,18.1,12.7,3.101,"2019-06-26 23:00:30",1561590030,7.431013,46.94134,538,2019-06-26 23:00:30,"2019-06-27 01:00:30",NA,NA,NA,NA,66.1846571758197,"67.8078204121956, 64.5614939394438","Log_53,Log_80",24.1247793836027,"25.805, 22.525",2,-0.0552206163973175,137.750439069162,"280.882002855846, 67.8078204121956, 64.5614939394438","Log_36,Log_53,Log_80",24.2607984771504,"25.416, 25.805, 22.525",3,0.0807984771503669,22.5,1.6247793836027,22.5552206163973,NA,22.5552206163973
107,2019,177,2300,40,24.18,72,527.2,18.09,12.69,3.101,"2019-06-26 23:00:40",1561590040,7.430774,46.94174,540,2019-06-26 23:00:40,"2019-06-27 01:00:40",NA,NA,NA,NA,70.4044857451263,"115.846553474321, 24.9624180159316","Log_53,Log_80",23.1064738239028,"25.805, 22.525",2,-1.07352617609721,144.664735894612,"293.185236193584, 115.846553474321, 24.9624180159316","Log_36,Log_53,Log_80",23.2576616666115,"25.416, 25.805, 22.525",3,-0.922338333388481,22.5,0.6064738239028,23.5735261760972,NA,23.5735261760972
107,2019,177,2300,50,24.18,71.7,524.9,18.07,12.69,3.101,"2019-06-26 23:00:50",1561590050,7.430606,46.94218,541,2019-06-26 23:00:50,"2019-06-27 01:00:50",NA,NA,NA,NA,103.101930496582,"166.159748100515, 40.0441128926494","Log_53,Log_80",23.1619652326357,"25.805, 22.525",2,-1.0180347673643,171.253210245457,"307.555769743208, 166.159748100515, 40.0441128926494","Log_36,Log_53,Log_80",23.3759953938506,"25.416, 25.805, 22.525",3,-0.80400460614937,22.5,0.661965232635701,23.5180347673643,NA,23.5180347673643
107,2019,177,2301,NA,24.17,71.6,524.3,18.04,12.69,3.101,"2019-06-26 23:01:00",1561590060,7.430428,46.94255,544,2019-06-26 23:01:00,"2019-06-27 01:01:00",NA,NA,NA,NA,81.2903163669822,"81.2903163669822","V1",22.525,"22.525",1,-1.645,206.250595516981,"328.000578369663, 209.460891814298, 81.2903163669822","Log_36,Log_53,Log_80",23.7410911877433,"25.416, 25.805, 22.525",3,-0.428908812256655,NA,NA,NA,0.70044038997334,23.4695596100267
107,2019,177,2301,10,24.18,71.6,524.2,18.03,12.68,3.101,"2019-06-26 23:01:10",1561590070,7.430284,46.94294,550,2019-06-26 23:01:10,"2019-06-27 01:01:10",NA,NA,NA,NA,124.843966296758,"124.843966296758","V1",22.525,"22.525",1,-1.655,243.265872779154,"350.909239463921, 254.044412576782, 124.843966296758","Log_36,Log_53,Log_80",23.9544162596573,"25.416, 25.805, 22.525",3,-0.225583740342653,NA,NA,NA,0.73996640694309,23.4400335930569
107,2019,177,2301,20,24.18,71.5,526.2,18.02,12.69,3.101,"2019-06-26 23:01:20",1561590080,7.430136,46.94326,553,2019-06-26 23:01:20,"2019-06-27 01:01:20",NA,NA,NA,NA,161.936309374432,"161.936309374432","V1",22.525,"22.525",1,-1.655,276.012609948637,"374.743216623193, 291.358303848286, 161.936309374432","Log_36,Log_53,Log_80",24.070478332614,"25.416, 25.805, 22.525",3,-0.109521667386044,NA,NA,NA,0.77290776101815,23.4070922389818
107,2019,177,2301,30,24.18,71.5,524.5,18.01,12.69,3.101,"2019-06-26 23:01:30",1561590090,7.429696,46.94344,550,2019-06-26 23:01:30,"2019-06-27 01:01:30",NA,NA,NA,NA,194.839287492641,"194.839287492641","V1",22.525,"22.525",1,-1.655,310.072613299305,"413.537380944233, 321.841171461041, 194.839287492641","Log_36,Log_53,Log_80",24.137189837804,"25.416, 25.805, 22.525",3,-0.0428101621960231,NA,NA,NA,0.800842666428089,23.3791573335719
